subdis_id,subdis_name,dis_id
6737,BAHAL BATU I,463
6738,BAHAL BATU II,463
6739,BAHAL BATU III,463
8157,HUTABULU,463
8753,LOBU SIREGAR I,463
8754,LOBU SIREGAR II,463
8914,LUMBAN TONGA TONGA,463
9640,PANIARAN,463
9789,PARIK SABUNGAN,463
9908,PASAR SIBORONG BORONG,463
10263,POHAN JAE,463
10264,POHAN JULU,463
10265,POHAN TONGA,463
10859,SIARO,463
10919,SIBORONG-BORONG I,463
10920,SIBORONG-BORONG II,463
11073,SIGUMBANG,463
11152,SILAIT-LAIT,463
11567,SITABOTABO TORUAN,463
11568,SITABOTABO,463
11575,SITAMPURUNG,463
